Provincia,,Localidad,ADSL,CABLEMODEM,,FIBRAOPTICA,4G,3G,,WIRELESS,
,San Pedro,Rodeito,,,--,--,,,--,,--
JUJUY,San Pedro,Rosario de Río Grande,,--,--,--,,--,--,SI,--
JUJUY,,,--,--,,,--,--,,--,
JUJUY,San Pedro,,--,--,--,,SI,SI,--,SI,--
JUJUY,San Pedro,,SI,SI,--,,--,--,,SI,SI
JUJUY,,Sauzal,--,--,,--,--,--,,,--
JUJUY,SANTA BARBARA,El Fuerte,,,--,--,,--,--,--,SI
,Susques,Mina Providencia,--,,--,SI,--,,--,--,
SALTA,,Aguaray,SI,SI,,SI,SI,--,,,SI
SALTA,,,SI,--,,,SI,--,,,SI
SALTA,Grl. José de San Martín,Campichuelo,,--,--,--,,--,--,--,
,Grl. José de San Martín,Campo Durán,,,--,SI,,,--,--,
SALTA,Grl. José de San Martín,,--,--,--,,SI,--,--,,--
SALTA,,,--,--,,,--,--,,--,--
SALTA,,Coronel Cornejo,SI,--,,SI,SI,--,,--,
SALTA,,,--,--,,,SI,--,SI,SI,
,Grl. José de San Martín,Embarcación,SI,,--,SI,SI,,SI,,SI
SALTA,Grl. José de San Martín,General Ballivián,,--,--,SI,,,--,,SI
SALTA,,,SI,--,,,SI,SI,,SI,
SALTA,,Hickman,--,--,,--,SI,--,,--,--
SALTA,,Misión Chaqueña,--,--,,,SI,--,,,--
SALTA,Grl. José de San Martín,,--,--,--,,SI,SI,--,,--
,Guaymallén,BERMEJO,--,,--,SI,SI,,--,--,
MENDOZA,Guaymallén,BUENA NUEVA,,--,--,SI,,SI,--,--,
,Guaymallén,Capilla Del Rosario,,,--,SI,,,--,--,--
,Guaymallén,COLONIA SEGOVIA,--,,--,--,SI,,--,,--
MENDOZA,,,--,--,,,SI,SI,,SI,
MENDOZA,,DORREGO,--,--,,SI,SI,SI,,--,
,Guaymallén,EL SAUCE,--,,--,SI,SI,,--,,--
MENDOZA,Guaymallén,GENERAL BELGRANO,,--,--,--,,SI,--,--,--
MENDOZA,Guaymallén,,SI,SI,SI,,SI,SI,SI,SI,
MENDOZA,,JESUS NAZARENO,--,--,,SI,SI,SI,,--,--
MENDOZA,Guaymallén,KILOMETRO 11 (GUAYMALLEN),,--,--,--,,--,--,,--
,Guaymallén,La Primavera,--,,--,--,,,--,SI,--
,Guaymallén,LAS CAÑAS,--,,--,SI,SI,,--,--,--
,Guaymallén,Los Corralitos,,,SI,--,,,SI,SI,
MENDOZA,,Panquehua,--,--,,SI,SI,SI,,--,--
MENDOZA,,,--,--,,,SI,SI,,,SI
,Las Heras,Polvaredas,,--,--,--,,--,--,--,
,Las Heras,Puente del Inca,--,,--,--,SI,,--,--,
MENDOZA,Las Heras,Punta de Vacas,,--,--,--,,--,--,--,--
,Las Heras,Sierras De Encalada,,,--,--,SI,,--,,--
MENDOZA,Las Heras,,SI,--,SI,,SI,SI,SI,--,--
MENDOZA,,3 de Mayo,--,--,,--,SI,--,,SI,
MENDOZA,,Barrio Alto del Olvido,--,--,,--,--,--,,,--
MENDOZA,,,--,--,,,--,--,,--,--
,Lavalle,Barrio La Esperanza,--,,--,--,--,,--,--,
,Lavalle,Barrio La Palmera,,,--,--,,,--,--,--
MENDOZA,Lavalle,,--,--,--,,--,--,,,--
MENDOZA,,Barrio Lagunas de Bartoluzzi,--,--,,--,--,--,,,--
,Lavalle,Barrio Los Jarilleros,--,,--,--,--,,--,--,
MENDOZA,Lavalle,Barrio Los Olivos,,--,--,--,,--,SI,--,
MENDOZA,,,--,--,,--,--,--,,--,--
MENDOZA,Lavalle,,--,--,--,,SI,SI,--,,--
MENDOZA,,,--,--,,,--,--,,--,
MENDOZA,,El Vergel,--,--,,--,--,--,,SI,--
,Lavalle,Ingeniero Gustavo André,,,--,--,,,--,,--
,Lavalle,Jocolí,--,,--,--,--,,--,,--
MENDOZA,,Jocolí Viejo,--,--,,--,--,--,,SI,--
MENDOZA,Luján de Cuyo,,SI,--,,,SI,SI,SI,SI,
MENDOZA,Luján de Cuyo,,--,--,--,,SI,SI,--,,--
MENDOZA,,,--,--,,,SI,--,,,--
MENDOZA,Luján de Cuyo,Cacheuta,,--,--,--,,SI,SI,SI,--
,Luján de Cuyo,CARRODILLA,,,--,SI,,,--,SI,
,Luján de Cuyo,CHACRAS DE CORIA,--,,--,SI,SI,,--,,--
MENDOZA,Luján de Cuyo,Costa Flores,,--,--,SI,,,--,SI,--
MENDOZA,,El Carmelo,--,--,,--,--,--,,--,
MENDOZA,,,--,--,--,,SI,--,--,SI,
,Luján de Cuyo,El Salto,,,--,--,,,SI,SI,--
,Luján de Cuyo,La Puntilla,--,,--,SI,--,,--,,--
MENDOZA,,,--,--,,,--,--,,--,--
MENDOZA,Luján de Cuyo,,SI,--,SI,,SI,--,SI,SI,
,Luján de Cuyo,Las Vegas,,,--,--,,,SI,SI,--
MENDOZA,Luján de Cuyo,Los Manantiales,,--,--,--,,SI,--,,--
,Guaymallén,PEDRO MOLINA,,,--,SI,,SI,--,--,
,Guaymallén,Puente de Hierro,SI,,SI,--,SI,,SI,SI,--
MENDOZA,Guaymallén,,--,--,--,,SI,SI,--,,SI
MENDOZA,,SAN FRANCISCO DEL MONTE,--,--,,SI,SI,SI,,--,--
,Guaymallén,San Jose,--,,--,SI,SI,,--,--,
,Guaymallén,VILLA NUEVA,,,--,--,,,--,--,
,Junín,ALTO VERDE,--,,--,--,--,,--,,--
MENDOZA,Junín,Ingeniero Giagnoni,,,SI,SI,,SI,SI,SI,--
MENDOZA,,Junín,SI,--,,SI,SI,SI,,SI,
MENDOZA,Junín,,--,--,--,,SI,SI,,SI,SI
MENDOZA,Junín,,SI,--,SI,,SI,SI,SI,SI,--
MENDOZA,,,--,--,,,--,--,,,--
MENDOZA,Junín,Phillips,,--,--,--,,--,SI,SI,--
,Junín,Rodríguez Peña,,,--,--,,,SI,SI,
MENDOZA,,Desaguadero,--,--,,--,SI,SI,,,--
MENDOZA,La Paz,,SI,--,--,,SI,SI,SI,--,--
MENDOZA,La Paz,Villa Antigua,,--,--,--,,,--,--,
,Las Heras,Blanco Encalada,--,,--,--,--,,SI,--,--
MENDOZA,Las Heras,,--,--,,,SI,--,--,,--
MENDOZA,,El Algarrobal,--,--,,SI,SI,SI,,,--
MENDOZA,,,--,--,,,SI,SI,,--,
MENDOZA,Las Heras,,--,--,--,,--,--,--,--,
,Las Heras,EL PLUMERILLO,,,--,SI,,,--,,--
MENDOZA,Las Heras,EL RESGUARDO,,--,--,SI,,SI,--,,--
MENDOZA,Las Heras,,--,--,--,,SI,SI,--,--,
MENDOZA,,,--,--,,--,SI,SI,,--,--
MENDOZA,,,--,--,,,SI,SI,,--,--
MENDOZA,Las Heras,,--,--,--,,SI,SI,--,,--
,Las Heras,Las Heras,,,SI,SI,,,SI,SI,
MENDOZA,Las Heras,Los Penitentes,,--,--,--,,--,--,--,
,Ñorquín,Caviahué,,,SI,--,,--,SI,,SI
,Ñorquín,Copahue,--,,--,--,--,,SI,,--
NEUQUEN,Ñorquín,,--,--,--,,--,--,SI,SI,
NEUQUEN,,El Huecú,--,--,,--,SI,--,,SI,
,Ñorquín,Taquimilán,--,,--,--,--,,SI,SI,--
,Pehuenches,Barrancas,,,--,--,,,SI,,SI
NEUQUEN,Pehuenches,,--,--,--,,SI,--,SI,--,SI
NEUQUEN,,,--,--,,,--,--,,--,
NEUQUEN,Pehuenches,Rincón de los Sauces,,SI,SI,SI,,SI,SI,SI,SI
,Picún Leufú,El Sauce,,,--,--,,,--,,--
,Picún Leufú,Paso Aguerre,--,,--,--,--,,SI,--,
NEUQUEN,Picún Leufú,Picún Leufú,,--,--,--,,,SI,SI,SI
NEUQUEN,,Bajada del Agrio,--,--,,--,SI,--,,,--
NEUQUEN,,,--,--,--,,--,--,--,--,SI
,Picunches,Las Lajas,,,SI,--,,,SI,--,SI
,Picunches,Quili Malal,--,,--,--,--,,--,--,
,Zapala,Covunco Centro,--,,--,--,SI,,--,--,--
MENDOZA,Maipú,Fray Luis Beltrán,,SI,SI,SI,,SI,SI,,--
MENDOZA,,,--,--,,SI,SI,SI,,--,--
MENDOZA,Maipú,,--,--,--,,SI,SI,--,--,
MENDOZA,,,SI,SI,,,SI,SI,,,--
MENDOZA,,Rodeo del Medio,SI,--,,SI,SI,SI,,SI,--
,Maipú,Russell,,,SI,SI,,,SI,--,
,Maipú,San Roque,SI,,SI,SI,SI,,SI,SI,--
MENDOZA,,Villa Teresa,--,--,,--,--,--,,,--
MENDOZA,Malargüe,,--,--,,,SI,SI,--,,SI
MENDOZA,Malargüe,Bardas Blancas,,--,--,--,,--,SI,--,
,Malargüe,Las Leñas,,,--,SI,SI,,SI,--,
LA RIOJA,Coronel Felipe Varela,,--,--,--,,SI,--,--,,--
LA RIOJA,,Santa Clara,--,--,,--,--,--,,,--
LA RIOJA,,Villa Unión,--,SI,,SI,SI,--,,SI,
LA RIOJA,,,--,--,,,--,--,,--,
,Famatina,Angulos,--,,--,--,--,,--,,--
,Famatina,Antinaco,,,--,--,,,--,--,--
LA RIOJA,Famatina,,--,--,--,,--,--,,--,--
LA RIOJA,,Campanas,--,--,,SI,SI,--,,SI,
LA RIOJA,Famatina,,--,--,--,,--,--,--,,--
LA RIOJA,,Famatina,SI,SI,,SI,SI,SI,,SI,--
LA RIOJA,Famatina,La Cuadra,,--,--,--,,--,--,SI,
,Famatina,Pituil,--,,--,--,,,SI,SI,
,Famatina,Plaza Vieja,--,,--,--,--,,--,,--
,Famatina,Santa Cruz,,,--,--,,,--,,--
LA RIOJA,,Santo Domingo,--,--,,--,--,--,,--,
LA RIOJA,,,--,--,,,SI,--,,SI,
,General Angel V. Peñaloza,Tama,,--,--,SI,,--,SI,,--
,General Belgrano,Castro Barros,--,,--,--,--,,--,SI,--
LA RIOJA,,Chañar,SI,--,,,--,SI,,SI,
FORMOSA,Matacos,,SI,--,--,,SI,SI,SI,SI,SI
,Patiño,Bartolomé de las Casas,--,,--,--,--,,--,,SI
FORMOSA,Patiño,Colonia Sarmiento,,--,--,--,,--,--,--,--
,Patiño,Comandante Fontana,,,--,--,,,SI,SI,--
,Patiño,El Recreo,--,,--,--,--,,--,--,
FORMOSA,,,SI,--,,,SI,--,,SI,--
FORMOSA,,Fortín Cabo 1º Lugones,--,--,,--,SI,--,,,--
,Patiño,Fortín Sargento 1º Leyes,--,,--,--,--,,--,SI,
FORMOSA,Patiño,Ibarreta,,--,--,--,,SI,SI,SI,SI
FORMOSA,Patiño,Juan G. Bazán,,--,--,--,,--,--,,--
,Patiño,Las Lomitas,,,--,SI,,,SI,SI,SI
FORMOSA,Patiño,,--,--,--,,SI,--,--,SI,
FORMOSA,,,SI,--,,,SI,SI,,SI,--
FORMOSA,,San Martín I,--,--,,--,--,--,,SI,--
FORMOSA,,,--,--,,,SI,--,SI,,--
,Susques,Olacapato,--,,--,SI,--,,--,SI,--
FORMOSA,Pilcomayo,Laguna Naick-Neck,,--,--,--,,,SI,SI,
FORMOSA,,,--,--,,,SI,--,,,--
FORMOSA,,Puerto Pilcomayo,--,--,,--,--,--,,,--
,Pilcomayo,Riacho He-He,,,--,SI,,,SI,SI,
FORMOSA,Pilcomayo,Riacho Negro,,--,--,--,,--,--,SI,
FORMOSA,,,SI,--,,,SI,--,,,--
FORMOSA,Pirané,,--,--,--,,SI,--,SI,,--
FORMOSA,Pirané,,SI,--,--,,SI,--,,SI,
FORMOSA,,Palo Santo,--,SI,,--,SI,SI,,SI,
FORMOSA,Pirané,Pirané,,,--,SI,,SI,--,SI,SI
,Pirané,Villa Kilómetro 213,--,,--,--,SI,,SI,,SI
FORMOSA,,El Potrillo,--,--,,--,--,--,,SI,
FORMOSA,,,--,--,,,--,--,,SI,--
ENTRE RIOS,,Hernández,SI,--,,--,SI,SI,,,SI
ENTRE RIOS,Nogoyá,,SI,--,--,,SI,SI,SI,,--
,Nogoyá,Nogoyá,SI,,--,--,SI,,SI,SI,--
,Nogoyá,XX de Setiembre,,--,--,--,,--,SI,SI,
ENTRE RIOS,Paraná,Aldea María Luisa,,--,--,--,,--,SI,,--
,Paraná,Aldea San Juan,,,--,--,,,--,,--
ENTRE RIOS,Paraná,,--,--,--,,--,--,SI,SI,
ENTRE RIOS,,,--,--,,,--,--,,--,
,Paraná,Aldea Santa Rosa,--,,--,--,,,--,--,--
ENTRE RIOS,Paraná,Cerrito,,SI,--,--,,SI,SI,,SI
ENTRE RIOS,,,SI,--,--,,SI,SI,SI,SI,--
ENTRE RIOS,,Colonia Crespo,--,--,,--,--,--,,--,
ENTRE RIOS,Paraná,Colonia Merou,,--,--,--,,--,--,--,--
,Paraná,Crespo,SI,,--,SI,SI,,SI,,--
,Paraná,Crucesitas Séptima Sección,,,--,--,,,--,SI,
ENTRE RIOS,Paraná,El Palenque,,--,--,--,,--,SI,SI,--
ENTRE RIOS,,,SI,SI,,,SI,SI,,,--
ENTRE RIOS,Diamante,,--,--,--,,--,--,--,--,--
ENTRE RIOS,Diamante,Las Jaulas,,--,--,--,,--,--,--,
,Diamante,Paraje La Virgen,--,,--,--,--,,--,--,
,Diamante,Puerto Las Cuevas,--,,--,--,--,,--,--,--
ENTRE RIOS,Diamante,Strobel,,SI,--,--,,SI,--,,--
ENTRE RIOS,,Villa Libertador San Martín,SI,--,,--,SI,SI,,SI,--
ENTRE RIOS,,,SI,SI,,,SI,SI,SI,SI,
ENTRE RIOS,Federación,,--,--,--,,--,--,--,,--
ENTRE RIOS,,,--,--,,,SI,--,,SI,--
ENTRE RIOS,Federación,Colonia La Argentina,,--,--,--,,SI,SI,SI,
,Federación,Colonia Peña,,,--,--,,,--,SI,--
ENTRE RIOS,,,--,--,,,SI,--,,SI,--
ENTRE RIOS,Federación,,SI,--,--,,SI,SI,SI,,--
,Federación,Los Conquistadores,,,--,--,,SI,SI,SI,--
,Federación,San Jaime de la Frontera,--,,--,--,SI,,SI,SI,
FORMOSA,Ramón Lista,,--,--,--,,--,--,,,SI
JUJUY,,Abdón Castro Tolay,--,--,,--,--,--,,,--
JUJUY,,,--,--,,,SI,--,,SI,
JUJUY,Cochinoca,,--,--,--,,--,--,--,--,
,Cochinoca,Agua de Castilla,,,--,--,,,--,,--
JUJUY,Cochinoca,Casabindo,,--,--,--,,--,--,,--
JUJUY,Cochinoca,,--,--,--,,--,--,--,--,--
JUJUY,,La Redonda,--,--,,--,--,--,,--,
JUJUY,,Puesto del Marquéz,--,--,,SI,SI,--,,,--
JUJUY,,,--,--,,,--,--,,,--
,Cochinoca,Quera,--,,--,--,--,,--,--,
,Cochinoca,Rinconadillas,,,--,--,,,--,--,
JUJUY,Cochinoca,San Francisco de Alfarcito,,--,--,--,,--,--,,--
,Cochinoca,Santa Ana de la Puna,,,--,--,--,,--,,--
JUJUY,Cochinoca,,--,--,--,,--,--,--,--,
JUJUY,,Tambillos,--,--,,--,--,--,,--,--
,Cochinoca,Tusaquillas,,,--,--,,,--,--,--
JUJUY,Doctor Manuel Belgrano,Dr. Manuel Belgrano,,--,--,SI,,--,--,,SI
JUJUY,,,SI,SI,,,SI,SI,,--,--
JUJUY,,La Almona,--,SI,,SI,--,--,,--,
,Doctor Manuel Belgrano,León,,,--,--,,,--,--,SI
,Doctor Manuel Belgrano,Lozano (Ap. Chañi),--,,--,--,SI,,SI,,--
,Doctor Manuel Belgrano,Ocloyas,--,,--,--,--,,--,--,
JUJUY,Doctor Manuel Belgrano,San Pablo De Reyes,,--,--,--,,--,--,--,--
JUJUY,,,SI,SI,,SI,SI,SI,,,SI
JUJUY,Doctor Manuel Belgrano,,--,--,--,,SI,SI,SI,SI,SI
JUJUY,El Carmen,Aguas Calientes,,--,--,--,,--,--,SI,
,El Carmen,Barrio El Milagro,,,--,--,,,--,--,
,El Carmen,Barrio La Unión,,,--,--,,,--,,--
,El Carmen,El Carmen,SI,,--,--,SI,,SI,SI,SI
JUJUY,,,--,--,,,SI,SI,,--,
JUJUY,,Los Lapachos (Est. Maquinista Verón),--,--,,--,SI,SI,,--,--
JUJUY,,Loteo San Vicente,--,--,,,SI,--,,--,--
JUJUY,El Carmen,,--,--,--,,SI,SI,--,,SI
,El Carmen,Monterrico,--,,--,--,SI,,SI,SI,SI
JUJUY,El Carmen,Pampa Blanca,,SI,--,--,,SI,SI,SI,
JUJUY,El Carmen,,--,SI,--,,SI,SI,SI,,SI
JUJUY,,,--,--,,,--,--,,--,--
,Yavi,La Quiaca,SI,,--,SI,SI,,SI,SI,
,Yavi,Llulluchayoc,,,--,--,,,--,--,--
JUJUY,,Pumahuasi,--,--,,SI,SI,--,,,--
JUJUY,,,--,--,,,--,--,,,--
JUJUY,Yavi,,--,--,--,,--,--,--,--,
JUJUY,,Yavi Chico,--,--,,SI,--,--,,--,
LA PAMPA,Atreucó,Doblas,,SI,--,SI,,--,SI,,SI
,Atreucó,Macachín,--,,--,SI,,,SI,,SI
LA PAMPA,,,--,--,,,SI,--,,SI,
LA PAMPA,Atreucó,,--,--,--,,SI,--,SI,SI,SI
LA PAMPA,Atreucó,,--,--,SI,,--,--,,,SI
LA PAMPA,,Anzoategui,--,--,,--,--,--,,,--
,Caleu Caleu,La Adela,,,--,--,,SI,--,SI,
,Capital,Anguil,--,,--,SI,SI,,SI,SI,
,Susques,Olaroz Chico,,,--,SI,,,SI,,SI
JUJUY,Susques,Pastos Chicos,,--,--,SI,,--,--,,--
JUJUY,,,--,--,,,--,--,,--,--
JUJUY,Susques,,--,--,--,,--,--,--,--,
JUJUY,Susques,Susques,,--,--,SI,,--,SI,,SI
,Tilcara,Colonia San José,,,--,--,,,--,--,--
JUJUY,,Huacalera,--,--,,SI,--,--,,--,
JUJUY,,,--,--,,,--,--,SI,--,--
,Tilcara,Maimará,--,,--,SI,SI,,SI,,SI
JUJUY,Tilcara,Tilcara,,--,--,SI,,,SI,SI,SI
JUJUY,Tilcara,Yacoraite,,--,--,--,,--,--,--,--
,Tumbaya,Bárcena,,,--,--,,,--,SI,
JUJUY,Tumbaya,,--,--,--,,--,--,--,--,--
JUJUY,,,--,--,,,--,--,,,--
,Tumbaya,Purmamarca,SI,,--,--,SI,,SI,SI,
JUJUY,Tumbaya,Tumbaya,,--,--,--,,--,SI,SI,
,Tumbaya,Volcán,,,--,--,,,SI,SI,--
JUJUY,Valle Grande,Caspalá,,--,--,--,,--,--,,--
JUJUY,,,--,--,,,--,--,,--,--
JUJUY,Valle Grande,,--,--,--,,--,--,--,--,
JUJUY,,,--,--,--,,--,--,--,,SI
ENTRE RIOS,,El Pingo,--,--,,--,SI,SI,,SI,--
ENTRE RIOS,Paraná,El Ramblón,,--,--,--,,--,--,--,
,Paraná,El Ramblón,--,,--,--,SI,,--,SI,--
ENTRE RIOS,,Hasenkamp,--,SI,,SI,SI,SI,,,SI
ENTRE RIOS,,,--,SI,,,SI,SI,,,--
ENTRE RIOS,Paraná,La Picada,,--,--,SI,,SI,SI,--,
,Paraná,Las Tunas,,,--,--,,,--,SI,
ENTRE RIOS,Paraná,,--,SI,SI,,SI,SI,SI,SI,--
ENTRE RIOS,,,SI,SI,,,SI,SI,,,--
ENTRE RIOS,,Paraná,SI,SI,,SI,SI,SI,,SI,
ENTRE RIOS,Paraná,,--,--,--,,--,--,SI,--,--
,Paraná,Pueblo Brugo,--,,--,--,SI,,SI,,--
,Paraná,Pueblo General San Martín,,--,--,--,,--,--,,--
NEUQUEN,,,--,--,,,--,--,,SI,--
NEUQUEN,,Mariano Moreno,SI,--,,--,--,--,,SI,
NEUQUEN,Zapala,,--,--,--,,SI,--,,,--
NEUQUEN,,Zapala,SI,--,,SI,SI,SI,,SI,SI
RIO NEGRO,25 de Mayo,Aguada de Guerra,,,--,--,,--,--,SI,
,25 de Mayo,Clemente Onelli,--,,--,SI,--,,--,--,--
,25 de Mayo,Colan Conhue,,,--,--,,,SI,--,SI
RIO NEGRO,25 de Mayo,El Caín,,--,--,--,,--,SI,,SI
RIO NEGRO,,,SI,--,,,SI,SI,,SI,SI
RIO NEGRO,25 de Mayo,,--,--,--,,SI,--,--,SI,
RIO NEGRO,25 de Mayo,Maquinchao,,--,--,--,,--,SI,,SI
,25 de Mayo,Mina Santa Teresita,,,--,--,--,,--,,--
RIO NEGRO,,Pilquiniyeu,--,--,,--,--,--,,--,
RIO NEGRO,9 de Julio,,--,--,,,--,--,--,--,
,9 de Julio,Cona Niyeu,--,,--,--,--,,SI,,SI
RIO NEGRO,9 de Julio,Ministro Ramos Mexía,,--,--,SI,,,--,,SI
LA PAMPA,Guatraché,General Manuel J. Campos,,--,--,SI,,--,SI,--,
,Guatraché,Guatraché,,,--,SI,,,SI,SI,
LA PAMPA,Guatraché,,--,--,--,,--,--,--,SI,--
LA PAMPA,,,--,--,,,--,--,,,--
,Hucal,Abramo,--,,--,SI,--,,--,SI,
LA PAMPA,Hucal,Bernasconi,,--,--,SI,,SI,SI,SI,SI
,Hucal,General San Martín (Est. Villa Alba),,,--,SI,,,SI,,--
,Hucal,Hucal,--,,--,--,--,,--,--,--
LA PAMPA,,,--,--,,,SI,SI,,SI,
LA PAMPA,,Cuchillo Co,--,--,,SI,SI,--,,--,
LA PAMPA,,,--,--,,,SI,--,,,SI
LA PAMPA,Limay Mahuida,,--,--,--,,--,--,--,,SI
,Loventué,Carro Quemado,--,,--,SI,--,,SI,SI,
LA PAMPA,Loventué,Loventué,,--,--,SI,,--,SI,--,
LA PAMPA,Loventué,,--,--,--,,SI,--,SI,,SI
LA PAMPA,,,--,--,,,SI,--,,SI,SI
,Loventué,Victorica,--,,--,SI,SI,,SI,SI,
,Maracó,Agustoni,,,--,--,,,SI,SI,--
LA PAMPA,,Dorila,--,--,,SI,--,--,,,--
LA PAMPA,,,SI,SI,,,SI,SI,,SI,SI
LA PAMPA,Maracó,,--,--,--,,SI,--,SI,SI,--
LA PAMPA,,Trebolares,--,--,,--,--,--,,--,
LA PAMPA,Puelén,25 de Mayo,,--,--,SI,,SI,SI,SI,--
,Puelén,Casa de Piedra,,,--,--,,,--,,--
LA PAMPA,,,--,--,,,SI,--,,SI,
LA PAMPA,Quemú Quemú,,--,--,SI,,SI,SI,SI,SI,SI
LA PAMPA,,Colonia San José,--,--,,--,--,--,,--,--
LA PAMPA,,,--,--,,,SI,SI,,,SI
,San Carlos,Barrio Carrasco,--,,--,--,--,,--,--,--
,San Carlos,Barrio El Cepillo,,,--,--,,,--,SI,
MENDOZA,San Carlos,Chilecito,,--,--,--,,SI,--,,--
,San Carlos,Eugenio Bustos,,,--,--,,,SI,SI,--
MENDOZA,San Carlos,,SI,--,--,,SI,SI,SI,SI,
MENDOZA,,Pareditas,--,--,,SI,SI,SI,,SI,--
,San Carlos,San Carlos,,,--,--,,,--,,--
MENDOZA,San Martín,Alto Salvador,,--,--,SI,,--,--,,--
MENDOZA,,,--,--,,,--,--,,SI,
MENDOZA,,Barrio Chivilcoy,--,--,,--,--,--,,--,
,San Martín,Barrio Emanuel,,,--,--,,,--,,--
,San Martín,Barrio La Estación,--,,--,--,--,,--,,--
,San Martín,Barrio Los Charabones,--,,--,--,--,,--,--,
MENDOZA,San Martín,Barrio Ntra. Sra. De Fátima,,--,--,--,,SI,--,--,
MENDOZA,,,--,--,,,SI,SI,,,--
MENDOZA,San Martín,,--,--,--,,--,--,--,--,--
MENDOZA,San Martín,El Espino,,--,--,--,,--,--,SI,--
,San Martín,El Ramblón,,,--,--,,,--,SI,
,San Martín,Montecaseros,--,,--,--,SI,,SI,SI,--
MENDOZA,San Martín,Nueva California,,--,--,--,,--,--,,--
MENDOZA,,El Zampal,--,--,,--,SI,--,,--,
MENDOZA,,,--,--,--,,SI,SI,SI,--,
MENDOZA,Santa Rosa,,--,--,--,,SI,--,--,,--
MENDOZA,,,--,--,,,SI,SI,,,--
MENDOZA,Santa Rosa,Barrio Molina Cabrera,,--,--,--,,--,--,--,
,Santa Rosa,La Dormida,,,--,SI,,,SI,SI,
MENDOZA,,Las Catitas,--,--,,,SI,SI,,SI,--
MENDOZA,Santa Rosa,,--,--,--,,--,--,SI,,--
,Tunuyán,Barrio San Cayetano,,--,--,--,,--,--,--,--
,Tunuyán,Campo Los Andes,--,,--,--,--,,--,--,
MENDOZA,Tunuyán,,--,--,--,,SI,SI,SI,SI,--
MENDOZA,,El Manzano,--,--,,--,SI,SI,,,--
MENDOZA,,,--,SI,,,SI,SI,,--,
MENDOZA,Tunuyán,,SI,SI,SI,,SI,SI,SI,SI,--
,Tunuyán,Vista Flores,,,--,--,,,SI,,--
MENDOZA,Tupungato,Barrio Belgrano Norte,,--,--,--,,--,--,--,--
MENDOZA,Tupungato,,--,--,--,,SI,SI,SI,SI,--
MENDOZA,,El Peral,--,--,,--,--,--,,--,
CORDOBA,San Justo,,SI,--,--,,SI,SI,SI,,SI
CORDOBA,,,--,--,,,SI,SI,,SI,SI
CORDOBA,San Justo,Miramar,,SI,--,--,,SI,SI,SI,
,San Justo,Morteros,,,--,SI,,,SI,--,--
,San Justo,Plaza Luxardo,--,,--,--,--,,--,SI,--
,San Justo,Plaza San Francisco,,,--,--,,--,--,,--
CORDOBA,,Porteña,SI,--,,SI,SI,SI,,SI,--
CORDOBA,San Justo,,--,--,--,,--,--,,SI,
,San Justo,Sacanta,,,--,SI,,,SI,,SI
,San Justo,San Francisco,SI,,--,SI,SI,,SI,,--
JUJUY,,,--,--,,,--,--,,--,
JUJUY,Valle Grande,,--,--,--,,--,--,--,--,
,San Justo,Saturnino María Laspiur,,,--,--,,,SI,,SI
CORDOBA,San Justo,Seeber,,--,--,--,,--,--,--,--
CORDOBA,San Justo,Toro Pujio,,--,--,--,,,SI,--,--
,San Justo,Tránsito,SI,,--,--,SI,,SI,SI,
CORDOBA,San Justo,,--,--,,,--,--,--,,--
CORDOBA,,Villa Concepción del Tío,--,SI,,--,SI,SI,,,--
,San Justo,Villa del Tránsito,--,,--,--,--,,--,SI,
,San Justo,Villa San Esteban,,,--,--,,,--,SI,--
CORDOBA,Santa María,Alta Gracia,,SI,--,SI,,SI,SI,,--
,Santa María,Anisacate,,,--,--,,,SI,,--
CORDOBA,Santa María,,--,--,--,,--,--,--,--,
CORDOBA,,,--,--,,,--,SI,,--,
CORDOBA,,Barrio Villa del Parque,--,--,,--,--,--,,,--
CORDOBA,Santa María,,--,--,,,SI,SI,SI,,--
,Santa María,Campos del Virrey,--,,--,--,--,,--,--,--
CORDOBA,Santa María,Caseros Centro,,--,--,--,,,--,--,
CORDOBA,,,--,--,,,--,--,,,--
CORDOBA,,Costa Azul,--,--,,--,SI,SI,,--,--
,Río Primero,Piquillín,,,--,--,,,SI,--,
CORDOBA,Río Primero,Plaza de Mercedes,,--,--,--,,--,--,--,--
CORDOBA,,,--,--,,,SI,--,,,--
CORDOBA,Río Primero,,SI,--,--,,SI,SI,SI,SI,--
CORDOBA,Río Primero,,--,--,--,,--,--,,--,--
CORDOBA,,Santa Rosa de Río Primero,SI,--,,SI,SI,SI,,SI,
CORDOBA,Río Primero,Villa Fontana,,,--,SI,,--,SI,SI,--
,Río Seco,Cerro Colorado,--,,--,--,SI,,--,,--
CORDOBA,,Chañar Viejo,--,--,,--,--,--,,--,
CORDOBA,,,--,--,,,--,--,,--,
CORDOBA,Río Seco,,--,--,--,,--,--,--,,--
CORDOBA,,La Rinconada,--,--,,--,SI,--,,--,--
CORDOBA,Río Seco,Los Hoyos,,--,--,--,,--,--,--,
,Río Seco,Puesto de Castro,--,,--,--,,,--,--,--
,Río Seco,Rayo Cortado,--,,--,--,--,,--,SI,--
,Río Seco,San Pedro de Gütemberg,,,--,--,,,--,,--
CORDOBA,,Santa Elena,--,--,,--,SI,--,,--,--
CORDOBA,,,--,--,,,SI,SI,,--,
,Río Seco,Villa Candelaria,,,--,--,,--,--,,--
