Provincia,,Localidad,ADSL,CABLEMODEM,,FIBRAOPTICA,4G,3G,,WIRELESS,
BUENOS AIRES,,Punta Mogotes,--,--,,--,SI,SI,,--,--
BUENOS AIRES,,,SI,--,,,SI,SI,,,--
,General Rodríguez,Barrio Ruta 24 Kilómetro 10,,,--,SI,,SI,--,--,
,General Rodríguez,Country Club Bosque Real - Barrio Morabo,--,,--,--,SI,,--,--,
CABA,COMUNA 05,ALMAGRO,,SI,SI,SI,,SI,SI,SI,SI
,Escalante,Comodoro Rivadavia,,,SI,SI,,,SI,,SI
CHUBUT,Escalante,,--,--,--,,SI,SI,--,SI,--
CHUBUT,,Km. 11 - Cuarteles,--,--,,--,--,--,,--,
CHUBUT,,KM. 3 - General Mosconi,--,--,,--,SI,SI,,,--
CHUBUT,,,--,--,,,--,--,,--,--
,Escalante,KM. 8 - Don Bosco,--,,--,--,SI,,--,--,
,COMUNA 05,BOEDO,,,SI,SI,,,SI,SI,SI
CHUBUT,Escalante,,SI,SI,SI,,SI,SI,,SI,--
CHUBUT,,Camarones,--,--,,--,SI,--,,,SI
,Florentino Ameghino,Garayalde,--,,--,--,--,,--,SI,--
CHUBUT,Futaleufú,Aldea Escolar,,--,--,--,,--,SI,--,
CHUBUT,,,--,--,,,--,--,,,SI
CHUBUT,Futaleufú,,SI,SI,SI,,SI,SI,SI,,SI
BUENOS AIRES,,,--,--,,,SI,SI,,SI,
BUENOS AIRES,,La Armonía,--,--,,--,SI,SI,,SI,
,Mar Chiquita,La Baliza,,,--,--,,,--,,--
,Mar Chiquita,La Caleta,--,,--,--,--,,--,,--
BUENOS AIRES,,Mar Chiquita,--,--,,--,SI,SI,,--,--
BUENOS AIRES,,,SI,--,,,--,--,SI,--,
BUENOS AIRES,Mar Chiquita,,--,--,--,,SI,SI,--,,--
BUENOS AIRES,,,SI,--,,,SI,SI,,,--
BUENOS AIRES,Mar Chiquita,Santa Elena,,--,--,--,,--,--,--,
,Mar Chiquita,Vivoratá,,,--,SI,,,SI,SI,
,Marcos Paz,Barrio Santa Rosa,--,,--,--,SI,,--,,--
BUENOS AIRES,Marcos Paz,Marcos Paz,,SI,SI,SI,,SI,SI,,SI
BUENOS AIRES,,Goldney,--,--,,--,--,--,,--,
BUENOS AIRES,,,SI,--,SI,,SI,SI,SI,SI,SI
,Benito Juárez,López,,,--,SI,,,--,SI,--
,Benito Juárez,Tedín Uriburu,--,,--,--,SI,,--,,--
BUENOS AIRES,,,--,--,,,SI,SI,,SI,SI
BUENOS AIRES,Berazategui,,SI,SI,SI,,SI,SI,SI,SI,
,Berazategui,Berazategui Oeste,,,--,SI,,,SI,--,--
BUENOS AIRES,Berazategui,Carlos Tomás Sourigues,,SI,--,SI,,SI,SI,,--
,Berazategui,Centro Agrícola El Pato,,SI,--,--,,SI,SI,SI,
,Totoral,Sarmiento,SI,,--,--,--,,SI,--,--
CORDOBA,Totoral,,--,--,--,,--,--,SI,,--
BUENOS AIRES,,Guillermo E. Hudson,SI,SI,,SI,SI,SI,,--,--
,Berazategui,Juan María Gutierrez,SI,,SI,SI,SI,,SI,SI,
,Berazategui,Pereyra,,,SI,SI,,,SI,--,
,Berazategui,Plátanos,--,,--,SI,SI,,SI,,--
,Berazategui,Ranelagh,,,SI,SI,,SI,SI,--,SI
BUENOS AIRES,,Villa España,SI,SI,,SI,SI,SI,,--,
BUENOS AIRES,Berisso,,--,--,--,,SI,--,,--,--
BUENOS AIRES,Berisso,,--,--,--,,SI,SI,--,SI,--
BUENOS AIRES,,,--,--,,,SI,SI,,,--
ENTRE RIOS,Colón,El Colorado,,--,--,--,,SI,--,--,SI
,Colón,Hambis,,,--,--,,,--,SI,
BUENOS AIRES,,General Pinto,--,--,,--,SI,SI,,,SI
BUENOS AIRES,General Pinto,,SI,--,--,,SI,SI,--,,--
BUENOS AIRES,General Pinto,Gunther,,--,--,--,,,--,--,
,General Pinto,Villa Francia (Est. Coronel Granada),--,,--,SI,SI,,SI,--,
BUENOS AIRES,General Pinto,,--,--,,,--,--,--,,--
BUENOS AIRES,,Barrio Colinas Verdes,--,--,,--,SI,SI,,SI,--
BUENOS AIRES,,,--,--,,,SI,--,,SI,--
BUENOS AIRES,General Pueyrredón,,--,--,--,,--,--,--,SI,
,General Pueyrredón,Barrio El Coyunco,,,--,SI,,,--,,--
BUENOS AIRES,General Pueyrredón,Barrio La Gloria,,--,--,--,,SI,--,,--
BUENOS AIRES,General Pueyrredón,,--,--,--,,SI,SI,--,SI,
BUENOS AIRES,,,SI,--,,,SI,SI,,SI,SI
BUENOS AIRES,,,SI,--,,,SI,SI,,,--
ENTRE RIOS,Colón,,--,--,--,,SI,--,--,,--
,Malvinas Argentinas,Ingeniero Pablo Nogués,,,SI,SI,,,SI,SI,--
BUENOS AIRES,Malvinas Argentinas,Los Polvorines,,SI,SI,SI,,SI,SI,SI,
,Malvinas Argentinas,Malvinas Argentinas,,SI,--,SI,,--,--,,--
,Malvinas Argentinas,Tortuguitas,SI,,--,SI,SI,,SI,--,--
BUENOS AIRES,Malvinas Argentinas,,SI,SI,SI,,SI,SI,SI,SI,
BUENOS AIRES,,Atlantida,--,--,,--,SI,SI,,--,
,Mar Chiquita,Camet Norte,--,,--,--,SI,,--,--,--
,Mar Chiquita,Coronel Vidal,,,--,SI,,,SI,,--
BUENOS AIRES,Mar Chiquita,,--,--,--,,SI,SI,--,--,--
BUENOS AIRES,,,SI,SI,,,SI,SI,,SI,
BUENOS AIRES,San Nicolás,Campos Salles,,--,--,--,,--,--,--,--
,San Nicolás,Conesa,,,--,--,,,SI,,SI
,San Nicolás,Erézcano,--,,--,--,--,,--,SI,
BUENOS AIRES,San Nicolás,General Rojo,,--,--,SI,,SI,SI,--,SI
BUENOS AIRES,,La Emilia,--,--,,--,SI,SI,,,--
BUENOS AIRES,,,SI,SI,SI,,SI,SI,SI,SI,SI
,San Nicolás,Villa Campi,,,--,--,,,--,--,
,San Nicolás,Villa Canto,--,,--,--,SI,,--,--,
,San Nicolás,Villa Esperanza,--,,--,--,--,,--,--,--
BUENOS AIRES,San Nicolás,Villa Riccio,,--,--,--,,--,--,,--
BUENOS AIRES,,,--,--,,,SI,SI,,--,--
BUENOS AIRES,San Pedro,,--,--,--,,--,--,--,--,
BUENOS AIRES,,,--,--,,,SI,--,,,--
BUENOS AIRES,,Pueblo Doyle,--,--,,--,--,--,,--,--
,San Pedro,Río Tala,,,--,SI,,,--,--,
,San Pedro,San Pedro,SI,,--,SI,SI,,SI,SI,SI
BUENOS AIRES,,Santa Lucía,--,--,,SI,SI,SI,,,SI
BUENOS AIRES,,,SI,SI,,,SI,SI,SI,,--
BUENOS AIRES,San Vicente,Domselaar,,SI,--,--,,SI,SI,SI,
,San Vicente,San Vicente,,,SI,SI,,,SI,SI,
BUENOS AIRES,Suipacha,,SI,--,--,,SI,--,SI,SI,--
BUENOS AIRES,,Suipacha,SI,--,,SI,SI,SI,,,--
BUENOS AIRES,,De la Canal,--,--,,--,--,--,,SI,
CABA,,,SI,SI,,,SI,SI,,SI,SI
,Gaiman,Gaiman,SI,,SI,SI,SI,,SI,,SI
,Gastre,Blancuntre,,,--,--,,,SI,,SI
CHUBUT,Gastre,,--,--,--,,--,--,,--,SI
CHUBUT,,Gastre,--,--,,--,SI,--,,SI,
CHUBUT,Gastre,,--,--,--,,--,--,SI,,SI
CHUBUT,,Yala Laubat,--,--,,--,--,--,,,SI
CHUBUT,Languiñeo,Aldea Epulef,,--,--,--,,--,SI,SI,
,Languiñeo,Carrenleufú,,,--,--,,,SI,--,SI
,Colón,Hocker,--,,--,--,SI,,--,,--
,COMUNA 10,MONTE CASTRO,,,SI,SI,,,SI,,SI
CORDOBA,,Coronel Moldes,SI,--,,--,SI,SI,,--,
CORDOBA,,,SI,--,,,SI,SI,,SI,
,Río Cuarto,La Carolina,,,--,--,,SI,SI,,SI
,Río Cuarto,La Cautiva,--,,--,--,SI,,SI,--,--
CORDOBA,,La Gilda,--,--,,,--,--,,--,
CORDOBA,Río Cuarto,,SI,--,--,,SI,SI,SI,--,--
,COMUNA 13,BELGRANO,SI,,SI,SI,SI,,SI,,SI
CHUBUT,Languiñeo,Colan Conhue,,--,--,--,,--,SI,SI,SI
,Languiñeo,Paso del Sapo,,,--,--,,,SI,SI,SI
,Languiñeo,Tecka,--,,--,--,--,,SI,--,
CHUBUT,,,--,--,,,--,--,,--,SI
