,Partido,Localidad,,,CABLEMODEM,DIAL UP,FIBRA OPTICA,,SATELITAL,WIMAX,,,
BUENOS AIRES,Chivilcoy,Chivilcoy,,2.628,9.147,119,,119,1,- 0,,,
,Chivilcoy,La Rica,6224040,,- 0,- 0,- 0,,- 0,- 0,,136,
BUENOS AIRES,,,6224050,- 0,,,546,- 0,,,29,913,
BUENOS AIRES,Chivilcoy,,6224060,3,- 0,,- 0,- 0,- 0,- 0,47,50,
,Chivilcoy,San Sebastián,,,- 0,- 0,,,- 0,- 0,,,
,Chivilcoy,Gorostiaga,6224030,,- 0,- 0,- 0,,- 0,- 0,2,,
BUENOS AIRES,,,6175010,4.143,,,1.794,- 0,,,20,7.545,
BUENOS AIRES,,Sarasa,6175040,- 0,,- 0,- 0,- 0,,- 0,15,15,
BUENOS AIRES,,Balneario Pehuen Co,6182020,- 0,,- 0,- 0,- 0,,- 0,- 0,,
BUENOS AIRES,Coronel de Marina L. Rosales,,6182030,852,20.293,,5,- 0,6,- 0,,,
,Coronel de Marina L. Rosales,Villa General Arias  (Est. Kilómetro 638),,,- 0,- 0,,,- 0,- 0,10,10,
BUENOS AIRES,Coronel de Marina L. Rosales,Pago Chico,,- 0,- 0,- 0,,- 0,- 0,,62,62,
BUENOS AIRES,Coronel de Marina L. Rosales,,6182010,- 0,- 0,,- 0,- 0,- 0,- 0,,74,
BUENOS AIRES,,,6189030,228,,,1,- 0,,- 0,,,
BUENOS AIRES,,El Perdido  (Est. José A. Guisasola),6189040,- 0,,- 0,32,- 0,,,5,37,
BUENOS AIRES,Coronel Dorrego,,6189070,- 0,- 0,,586,- 0,- 0,- 0,48,634,
,Coronel Dorrego,Balneario Marisol,6189020,,- 0,- 0,342,,- 0,- 0,,,
,Coronel Pringles,Coronel Pringles  (Est. Pringles),,649,2.056,3,,- 0,- 0,- 0,171,,
BUENOS AIRES,Coronel Pringles,Indio Rico,,- 0,- 0,1,,- 0,- 0,- 0,3,28,
,Coronel Suárez,Coronel Suárez,,,2.427,88,,,- 0,,785,5.814,
