,Partido,Localidad,,,CABLEMODEM,DIAL UP,FIBRA OPTICA,,SATELITAL,WIMAX,,,
FORMOSA,,,34007003,- 0,,,- 0,- 0,,- 0,7,,
FORMOSA,,La Rinconada,34007007,- 0,,- 0,- 0,- 0,,- 0,,8,
,Bermejo,Laguna Yema,34007010,,- 0,- 0,- 0,,2,,76,78,
FORMOSA,Bermejo,Lamadrid,,- 0,- 0,- 0,,- 0,- 0,- 0,7,7,
,Bermejo,Los Chiriguanos,34007020,,- 0,- 0,- 0,,- 0,- 0,,,
FORMOSA,Bermejo,Pozo de Maza,,- 0,- 0,- 0,,- 0,1,- 0,,17,
FORMOSA,,,34007040,- 0,,- 0,- 0,- 0,,,13,13,
FORMOSA,Bermejo,,34007050,- 0,- 0,,- 0,- 0,- 0,,5,5,
FORMOSA,,,34007005,- 0,,,- 0,- 0,,- 0,,14,
FORMOSA,,Colonia Pastoril,34014010,- 0,,- 0,- 0,- 0,,- 0,,,
,Formosa,Formosa,,,25.680,- 0,,,5,,7.692,50.278,
,Formosa,Gran Guardia,34014030,,- 0,- 0,- 0,,- 0,- 0,69,69,
FORMOSA,,Mariano Boedo,34014040,- 0,,- 0,- 0,- 0,,- 0,31,,
FORMOSA,Formosa,,34014050,- 0,,,- 0,- 0,1,- 0,,,
FORMOSA,Formosa,San Hilario,,- 0,- 0,- 0,,- 0,1,- 0,28,29,
,Formosa,Villa del Carmen,,,- 0,- 0,61,,2,,28,91,
FORMOSA,Laishi,,34021010,- 0,- 0,,- 0,- 0,- 0,- 0,32,,
FORMOSA,,General Lucio Victorio Mansilla,34021020,14,,- 0,- 0,- 0,,- 0,,183,
FORMOSA,,Herradura,34021030,- 0,,- 0,- 0,- 0,,,116,116,
FORMOSA,,,Sin Datos,- 0,,,- 0,- 0,,- 0,132,132,
,Laishi,San Francisco de Laishi,34021040,,- 0,- 0,- 0,,3,- 0,,,
,Laishi,Tatané,,,- 0,- 0,,,- 0,- 0,43,,
FORMOSA,Laishi,,34021060,- 0,- 0,,- 0,- 0,,- 0,102,102,
FORMOSA,,Ingeniero Guillermo N. Juárez,34028010,216,,- 0,- 0,- 0,,,252,469,
FORMOSA,,,34035010,- 0,,,- 0,- 0,,- 0,6,,
FORMOSA,Patiño,,34035030,- 0,- 0,,- 0,29,- 0,- 0,,,
,Patiño,Estanislao del Campo,,,- 0,- 0,,,- 0,- 0,157,194,
FORMOSA,Patiño,Fortín Cabo 1º Lugones,,- 0,- 0,- 0,,- 0,- 0,,145,145,
,Patiño,Fortín Sargento 1º Leyes,,,- 0,- 0,,- 0,1,- 0,,7,
,Patiño,Ibarreta,34035080,,- 0,- 0,- 0,,3,- 0,518,,
FORMOSA,Patiño,,34035090,- 0,- 0,,- 0,- 0,,,11,11,
FORMOSA,,Las Lomitas,34035100,479,,- 0,870,- 0,,- 0,231,1.585,
,Patiño,OTROS,Sin Datos,,- 0,- 0,- 0,,- 0,- 0,44,,
,Patiño,Posta Cambio Zalazar,,,- 0,- 0,,,- 0,- 0,,58,
FORMOSA,Patiño,,34035120,36,- 0,,- 0,- 0,- 0,- 0,190,226,
FORMOSA,,,34035140,- 0,,,1,- 0,,,369,370,
FORMOSA,Patiño,Subteniente Perín,,- 0,- 0,- 0,,- 0,1,- 0,,,
,Patiño,Villa General Güemes,,,- 0,- 0,,,- 0,- 0,,448,
,Patiño,Villa General Manuel Belgrano,34035170,,- 0,- 0,1,,- 0,,448,449,
FORMOSA,Patiño,San Martín I,,- 0,- 0,- 0,,,- 0,,5,5,
FORMOSA,,Buena Vista,34042010,- 0,,- 0,3,- 0,,- 0,,415,
FORMOSA,,,34042020,- 0,- 0,,- 0,- 0,2,- 0,,,
,Pilagás,Misión Tacaagle,,,- 0,- 0,,,1,- 0,149,150,
,Pilagás,Tres Lagunas,34042060,,- 0,- 0,- 0,,- 0,,97,121,
FORMOSA,Pilagás,Laguna Gallo,,- 0,- 0,- 0,,,- 0,- 0,,5,
,Pilcomayo,Clorinda,34049010,,27,- 0,2.395,,1,- 0,,,
FORMOSA,Pilcomayo,,34049020,42,,,315,- 0,- 0,,630,988,
FORMOSA,,Laguna Naick-Neck,34049030,113,,- 0,- 0,- 0,,,363,478,
FORMOSA,,,34049040,- 0,,,- 0,- 0,,- 0,18,,
FORMOSA,Pilcomayo,,34049060,- 0,- 0,,1,- 0,- 0,- 0,,415,
,Pilcomayo,Siete Palmas,,,- 0,- 0,,,- 0,,82,100,
FORMOSA,Pilcomayo,Puerto Pilcomayo,,- 0,- 0,- 0,,- 0,- 0,,3,3,
FORMOSA,Pilcomayo,,34049070,- 0,- 0,,- 0,- 0,- 0,- 0,,3,
FORMOSA,,,34056010,- 0,,- 0,52,- 0,,- 0,98,,
,Pirané,El Colorado,34056020,,- 0,- 0,71,,5,,605,2.089,
FORMOSA,Pirané,Palo Santo,,,173,- 0,,- 0,1,- 0,291,465,
FORMOSA,,Pirané,34056040,- 0,,- 0,957,100,,- 0,,,
FORMOSA,Pirané,,34056050,- 0,- 0,,- 0,- 0,,- 0,230,,
FORMOSA,Ramón Lista,,34063010,- 0,- 0,,- 0,- 0,- 0,- 0,20,20,
FORMOSA,,,34063030,- 0,,,- 0,- 0,,,12,12,
FORMOSA,Ramón Lista,General Mosconi,,- 0,- 0,- 0,,- 0,3,- 0,33,,
,Ramón Lista,OTROS,,,- 0,- 0,,,8,- 0,,,
JUJUY,,Abra Pampa,38007020,- 0,,- 0,- 0,- 0,,,221,224,
JUJUY,Cochinoca,,38007060,- 0,- 0,,5,- 0,- 0,,- 0,5,
JUJUY,Cochinoca,,38007055,- 0,- 0,,- 0,- 0,1,- 0,- 0,,
JUJUY,,,38021010,75,,,- 0,- 0,,- 0,,153,
JUJUY,Doctor Manuel Belgrano,Lozano (Ap. Chañi),,- 0,- 0,- 0,,- 0,- 0,- 0,111,111,
,Doctor Manuel Belgrano,San Salvador de Jujuy (Est. Jujuy),,,39.547,- 0,,,4,,140,81.848,
,Doctor Manuel Belgrano,Yala,38021070,,- 0,- 0,- 0,,1,- 0,,,
JUJUY,Doctor Manuel Belgrano,La Almona,,- 0,2,- 0,,,- 0,- 0,- 0,,
JUJUY,,Dr. Manuel Belgrano,38021065,- 0,,- 0,- 0,- 0,,,8,9,
JUJUY,,,38021030,- 0,504,,- 0,- 0,1,- 0,- 0,505,
,El Carmen,El Carmen,,,720,- 0,,,2,- 0,,,
,El Carmen,Los Lapachos (Est. Maquinista Verón),38014050,,- 0,- 0,- 0,,- 0,- 0,,1,
JUJUY,,,38014060,- 0,,,- 0,- 0,,,- 0,2,
JUJUY,El Carmen,,38014070,- 0,718,,- 0,- 0,1,,10,729,
,El Carmen,Pampa Blanca,,,221,- 0,,,2,- 0,,,
JUJUY,El Carmen,Perico,,- 0,2.034,- 0,,- 0,1,- 0,,2.046,
,El Carmen,Puesto Viejo,,,88,- 0,,- 0,1,,- 0,89,
,El Carmen,Aguas Calientes,38014010,,- 0,- 0,- 0,,- 0,- 0,28,28,
JUJUY,Humahuaca,,38028020,- 0,- 0,,- 0,181,,- 0,,182,
JUJUY,,Hipólito Yrigoyen (Est. Iturbe),38028030,- 0,,- 0,5,- 0,,- 0,,,
,Humahuaca,Humahuaca,38028040,,- 0,- 0,- 0,,7,- 0,330,826,
,Humahuaca,Tres Cruces,,,- 0,- 0,,,- 0,,- 0,35,
JUJUY,Humahuaca,Uquía (Est. Senador Pérez),,3,- 0,- 0,,40,- 0,- 0,,,
,Ledesma,Caimancito,,,- 0,- 0,- 0,,1,- 0,,247,
JUJUY,Ledesma,,38035040,- 0,500,,- 0,- 0,1,- 0,144,645,
JUJUY,,Chalicán,38035050,- 0,,- 0,- 0,- 0,,,78,78,
JUJUY,,Fraile Pintado,38035060,650,,- 0,- 0,- 0,,- 0,,795,
JUJUY,,,38035080,60,,,1.000,- 0,,- 0,,,
,Ledesma,Yuto,38035110,,- 0,- 0,- 0,,1,,176,177,
,OTROS,OTROS,,,- 0,- 0,,,- 0,,- 0,1.085,
JUJUY,Palpalá,,38042010,1,- 0,,- 0,- 0,,- 0,- 0,,
JUJUY,,Centro Forestal,38042020,15,,- 0,- 0,- 0,,- 0,,15,
,Palpalá,Palpalá (Est. Gral. Manuel N. Savio),38042040,,1.004,- 0,3.395,,3,- 0,1,6.390,
JUJUY,Palpalá,Rio Blanco,,- 0,53,- 0,,- 0,- 0,,- 0,74,
JUJUY,,,38049020,- 0,,- 0,- 0,- 0,,- 0,- 0,,
JUJUY,Rinconada,,38049025,- 0,- 0,,- 0,- 0,2,- 0,,,
JUJUY,,,38049030,- 0,,,5,- 0,,,- 0,7,
JUJUY,,Coyaguaima,38049007,- 0,,- 0,5,- 0,,- 0,- 0,5,
,Rinconada,Orosmayo,,,- 0,- 0,,,- 0,- 0,,5,
,Rinconada,Rinconada,38049040,,- 0,- 0,- 0,,2,- 0,- 0,,
JUJUY,,Lagunillas de Farallón,38049010,- 0,,- 0,9,- 0,,,- 0,9,
JUJUY,San Antonio,,38056020,- 0,,,77,- 0,- 0,,- 0,77,
JUJUY,,San Antonio,38056030,1,,,- 0,- 0,,- 0,,89,
JUJUY,San Antonio,,38056010,- 0,- 0,,1,- 0,- 0,- 0,- 0,,
,San Antonio,Los Alisos,38056017,,- 0,- 0,- 0,,- 0,,- 0,1,
JUJUY,San Pedro,La Esperanza,,- 0,- 0,- 0,,- 0,1,- 0,- 0,1,
,San Pedro,La Mendieta,,,- 0,- 0,,,1,- 0,240,,
,San Pedro,San Pedro (Est. San Pedro de Jujuy),38063180,,1.334,- 0,1.468,,1,- 0,,,
JUJUY,,,38063170,- 0,,,- 0,- 0,,- 0,10,10,
JUJUY,,Don Emilio,38063030,- 0,,- 0,- 0,- 0,,,37,37,
,San Pedro,Rosario de Río Grande,38063150,,- 0,- 0,- 0,,- 0,- 0,,54,
JUJUY,SANTA BARBARA,El Fuerte,,- 0,- 0,- 0,,- 0,5,- 0,,,
JUJUY,SANTA BARBARA,,38070020,75,- 0,,- 0,- 0,- 0,,21,96,
JUJUY,,El Talar,38070030,- 0,,- 0,- 0,- 0,,,141,142,
JUJUY,SANTA BARBARA,OTROS,,- 0,- 0,- 0,,- 0,3,- 0,,3,
,SANTA BARBARA,Palma Sola,38070040,,- 0,- 0,,,1,- 0,,,
,SANTA BARBARA,Santa Clara,38070060,,- 0,- 0,- 0,,1,- 0,79,182,
,SANTA BARBARA,Vinalito,,,- 0,- 0,,,- 0,,30,30,
JUJUY,,Casira,38077010,- 0,,- 0,5,- 0,,- 0,,,
JUJUY,,,38077020,- 0,,,5,- 0,,- 0,,5,
,Santa Catalina,Cieneguillas,,- 0,- 0,- 0,,- 0,- 0,,- 0,5,
,Santa Catalina,Cusi Cusi,38077040,,- 0,- 0,5,,- 0,- 0,- 0,5,
,Santa Catalina,Misarrumi,,,- 0,- 0,,,5,- 0,,5,
JUJUY,Santa Catalina,Oratorio,,- 0,- 0,- 0,,- 0,- 0,- 0,,,
JUJUY,,,38077080,- 0,,,5,- 0,,,- 0,5,
JUJUY,Santa Catalina,,38077100,- 0,- 0,,5,- 0,1,- 0,- 0,6,
JUJUY,Susques,,38084030,- 0,- 0,,20,- 0,,- 0,,,
JUJUY,,Huáncar,38084040,- 0,,- 0,27,- 0,,- 0,,27,
,Susques,Olacapato,,,- 0,- 0,,- 0,- 0,,1,9,
,Susques,Olaroz Chico,38084060,,- 0,- 0,30,,1,,5,36,
JUJUY,,Pastos Chicos,38084070,- 0,,- 0,22,- 0,,- 0,,,
JUJUY,,,38084080,- 0,,,20,- 0,,- 0,- 0,,
JUJUY,Susques,San Juan de Quillaqués,,- 0,- 0,- 0,,- 0,5,,- 0,17,
,Susques,Susques,,,- 0,- 0,,,11,- 0,18,304,
JUJUY,Susques,,38084020,- 0,- 0,,60,- 0,- 0,- 0,,,
JUJUY,,,38084010,- 0,,,70,- 0,,- 0,- 0,,
JUJUY,,Jama,38084045,- 0,,- 0,11,- 0,,- 0,- 0,11,
JUJUY,,,38084050,- 0,,,5,- 0,- 0,,- 0,5,
,Tilcara,Huacalera,38094020,,- 0,- 0,5,,- 0,- 0,- 0,,
JUJUY,Tilcara,Juella,,- 0,- 0,- 0,,,- 0,- 0,,16,
JUJUY,,,38094040,- 0,,,5,430,,,76,513,
JUJUY,,Tilcara,38094050,- 0,,- 0,5,70,,,375,453,
JUJUY,,,38098010,- 0,- 0,,- 0,- 0,- 0,- 0,111,,
JUJUY,,Purmamarca,38098030,77,,- 0,- 0,- 0,,- 0,,,
JUJUY,Tumbaya,Volcán,,1,- 0,- 0,,5,- 0,- 0,93,99,
,Tumbaya,El Moreno,38098020,,- 0,- 0,- 0,,- 0,,- 0,1,
,Tumbaya,Tumbaya,,,- 0,- 0,,,- 0,- 0,,,
JUJUY,Valle Grande,Santa Ana,,- 0,- 0,- 0,,- 0,2,- 0,- 0,,
JUJUY,,,38112010,- 0,,,5,- 0,,,- 0,5,
JUJUY,Yavi,,38112020,- 0,- 0,,5,- 0,- 0,- 0,- 0,5,
JUJUY,Yavi,La Intermedia,,- 0,- 0,- 0,,- 0,- 0,- 0,,,
,Yavi,La Quiaca,38112050,,- 0,- 0,75,,1,- 0,,742,
JUJUY,,Pumahuasi,38112070,- 0,,- 0,5,- 0,,- 0,- 0,5,
JUJUY,Yavi,,38112090,- 0,- 0,,5,- 0,- 0,,- 0,5,
,Yavi,Yavi,38112080,,- 0,- 0,- 0,,1,- 0,,,
,Atreucó,Doblas,,- 0,333,- 0,,- 0,1,- 0,,415,
LA PAMPA,Atreucó,Macachín,,- 0,- 0,- 0,,- 0,1,,1.004,1.306,
,Atreucó,Miguel Riglos,,,- 0,- 0,,,1,,110,114,
LA PAMPA,Atreucó,,42007040,- 0,- 0,,- 0,- 0,1,- 0,,70,
LA PAMPA,,,42007050,- 0,,,- 0,- 0,,- 0,5,,
,Caleu Caleu,La Adela,42014020,,261,- 0,,,3,- 0,335,599,
LA PAMPA,Capital,Anguil,,- 0,138,- 0,,99,1,,334,574,
,Capital,Santa Rosa,,1.760,46.905,66,,3.066,3,- 0,,,
,Catriló,Catriló,42028010,,509,1,680,,1,- 0,,1.518,
LA PAMPA,Catriló,,42028020,- 0,- 0,,- 0,24,,,- 0,24,
LA PAMPA,,Lonquimay,42028030,- 0,,- 0,1,71,,,- 0,351,
LA PAMPA,,,42028040,- 0,,,1,94,,- 0,,336,
LA PAMPA,Chalileo,,42049010,- 0,- 0,,- 0,- 0,1,- 0,862,,
,Chapaleufú,Bernardo Larroude,,,- 0,1,,,1,,530,589,
LA PAMPA,Chapaleufú,Ceballos,,- 0,- 0,- 0,,- 0,1,,73,75,
LA PAMPA,Chapaleufú,,42056030,- 0,- 0,,- 0,- 0,1,- 0,238,,
LA PAMPA,,Intendente Alvear,42056040,83,,1,209,1,,- 0,,1.465,
,Chapaleufú,Sarah,42056050,,- 0,- 0,- 0,,2,- 0,16,18,
LA PAMPA,Chapaleufú,Vértiz,,- 0,- 0,- 0,,- 0,- 0,,107,107,
LA PAMPA,,La Humada,42063020,- 0,,- 0,- 0,- 0,,- 0,152,,
LA PAMPA,,,42035010,- 0,,,- 0,- 0,- 0,- 0,,,
LA PAMPA,Conhelo,,42035020,1.693,1.341,,7,- 0,1,,- 0,3.042,
LA PAMPA,,,42035030,- 0,,,- 0,- 0,,- 0,30,31,
LA PAMPA,Conhelo,Monte Nievas,,- 0,- 0,- 0,,- 0,1,- 0,,46,
,Conhelo,Rucanelo,,,- 0,- 0,,,- 0,- 0,26,,
LA PAMPA,,,42035060,- 0,,,693,2,,,195,1.084,
LA PAMPA,Curacó,,42042010,- 0,- 0,,- 0,- 0,1,,83,84,
LA PAMPA,,,42042020,- 0,,,- 0,- 0,,- 0,68,,
LA PAMPA,,Alpachiri,42070010,- 0,,- 0,2,- 0,,- 0,,3,
,Guatraché,General Manuel J. Campos,,,- 0,- 0,,,1,- 0,- 0,3,
,Guatraché,Guatraché,42070030,,239,- 0,2,,1,,278,520,
,Guatraché,Santa Teresa,42070050,,- 0,- 0,2,,- 0,- 0,,,
LA PAMPA,Guatraché,Perú,,- 0,- 0,- 0,,- 0,- 0,- 0,39,,
LA PAMPA,,,42077010,- 0,,- 0,1,- 0,,,64,66,
LA PAMPA,Hucal,,42077020,48,- 0,,1,- 0,1,- 0,603,653,
LA PAMPA,Hucal,General San Martín (Est. Villa Alba),,- 0,- 0,- 0,,- 0,- 0,- 0,,,
,Hucal,Jacinto Arauz,,,- 0,- 0,,,2,- 0,,711,
LA PAMPA,,La Reforma,42091010,- 0,,- 0,- 0,- 0,,,65,66,
LA PAMPA,,,42091020,- 0,,,- 0,- 0,,,16,17,
,Loventué,Carro Quemado,42098010,,- 0,- 0,1,,1,- 0,50,,
,Loventué,Luan Toro,,,- 0,- 0,,,1,- 0,,68,
LA PAMPA,Loventué,Telén,,- 0,- 0,- 0,,- 0,1,,198,200,
,Loventué,Victorica,,,- 0,- 0,2,,1,,482,485,
LA PAMPA,Loventué,,42098020,- 0,- 0,,1,- 0,- 0,- 0,,1,
LA PAMPA,,Agustoni,42105010,- 0,,- 0,- 0,- 0,,- 0,,,
,Maracó,Dorila,,,- 0,- 0,,,- 0,- 0,53,54,
LA PAMPA,Maracó,General Pico,,2.535,1,91,,278,1,,3.015,20.609,
,Maracó,Speluzzi,42105040,,- 0,- 0,1,,- 0,- 0,,42,
,OTROS,OTROS,,,1,- 0,,,- 0,- 0,,,
LA PAMPA,,25 de Mayo,42112020,- 0,,- 0,1.027,- 0,,,950,1.977,
LA PAMPA,,,42112010,- 0,,,- 0,- 0,,,131,134,
LA PAMPA,Puelén,,42112005,- 0,- 0,,- 0,- 0,- 0,- 0,47,,
LA PAMPA,,Colonia Barón,42119010,- 0,,2,550,- 0,,- 0,,802,
LA PAMPA,Quemú Quemú,Miguel Cané,,- 0,- 0,- 0,,105,1,,- 0,107,
,Quemú Quemú,Quemú Quemú,42119040,,- 0,1,,,1,,143,260,
LA PAMPA,,,42119050,- 0,,,- 0,26,,- 0,,26,
LA PAMPA,Quemú Quemú,,42119060,- 0,- 0,,- 0,- 0,- 0,- 0,250,,
,Rancul,Caleufú,,,350,- 0,,,1,,- 0,353,
,Rancul,La Maruja,42126030,,150,- 0,- 0,,1,- 0,- 0,151,
LA PAMPA,,,42126040,- 0,,,408,- 0,,- 0,,,
LA PAMPA,,Quetrequén,42126060,- 0,,- 0,1,- 0,,- 0,142,,
LA PAMPA,,Rancul,42126070,- 0,,,158,- 0,,- 0,677,837,
LA PAMPA,Rancul,,42126050,- 0,- 0,,1,- 0,- 0,,- 0,1,
,Realicó,Adolfo Van Praet,42133010,,6,- 0,- 0,,1,- 0,23,,
LA PAMPA,Realicó,Alta Italia,,- 0,- 0,- 0,,- 0,1,- 0,,568,
LA PAMPA,Realicó,,42133030,- 0,- 0,,2,- 0,- 0,,100,102,
LA PAMPA,,,42133040,15,,,7,- 0,,,531,554,
LA PAMPA,,Falucho,42133050,- 0,,- 0,- 0,- 0,,- 0,,78,
LA PAMPA,Realicó,,42133060,- 0,,,240,- 0,2,- 0,1.418,,
,Realicó,Ojeda,42133070,,- 0,- 0,- 0,,- 0,,9,9,
LA PAMPA,Realicó,Realicó,,171,- 0,1,,,1,- 0,1.398,3.098,
LA PAMPA,Toay,Toay,,225,5.104,- 0,,- 0,1,- 0,259,,
,Trenel,Arata,,,- 0,- 0,,,1,- 0,,,
LA PAMPA,Trenel,,42147020,- 0,- 0,,- 0,- 0,1,- 0,60,61,
LA PAMPA,,,42147030,84,,,- 0,- 0,,,274,1.012,
,Utracán,Ataliva Roca,42154010,,- 0,- 0,2,,1,- 0,,292,
LA PAMPA,Utracán,Chacharramendi,,- 0,- 0,- 0,,- 0,2,- 0,,,
LA PAMPA,Utracán,,42154030,- 0,- 0,,1,- 0,,,145,147,
LA PAMPA,,General Acha,42154040,551,,- 0,970,- 0,,,333,4.771,
,Utracán,Quehué,,,- 0,- 0,,- 0,1,- 0,,244,
,Utracán,Unanué,42154060,,- 0,- 0,1,,- 0,- 0,56,,
,Lihuel Calel,Cuchillo Co,,,- 0,- 0,,,1,,- 0,2,
LA RIOJA,Arauco,Aimogasta,,104,2.031,- 0,,- 0,1,,87,2.227,
LA RIOJA,,,46007040,- 0,,,- 0,- 0,,- 0,,,
LA RIOJA,Arauco,,46007050,- 0,- 0,,- 0,- 0,- 0,- 0,,156,
LA RIOJA,Arauco,Machigasta,,- 0,- 0,- 0,,- 0,- 0,,3,3,
,Capital,La Rioja,,,34.941,4,,,3,- 0,1.223,57.764,
LA RIOJA,Castro Barros,Anillaco,,- 0,453,- 0,,- 0,1,- 0,- 0,,
,Castro Barros,Los Molinos,,,49,- 0,,,- 0,- 0,,53,
LA RIOJA,Castro Barros,,46021070,- 0,28,,- 0,- 0,- 0,,45,73,
LA RIOJA,,,46021010,- 0,,,1,- 0,,,17,176,
LA RIOJA,,Anjullón,46021030,- 0,,- 0,1,- 0,,- 0,,109,
LA RIOJA,Castro Barros,,46021040,- 0,39,,- 0,- 0,- 0,- 0,,,
,Castro Barros,Pinchas,46021060,,49,- 0,- 0,,- 0,,1,50,
,Castro Barros,Santa Vera Cruz,,- 0,- 0,- 0,,- 0,- 0,- 0,5,5,
LA RIOJA,,,46035010,229,,,8,- 0,,- 0,9,,
LA RIOJA,,Chilecito,46042010,1.046,,- 0,3.328,- 0,,- 0,,,
,Chilecito,Colonia Vichigasta,,,- 0,- 0,,,1,- 0,- 0,1,
LA RIOJA,Chilecito,Los Sarmientos,,- 0,157,- 0,,- 0,- 0,,- 0,157,
LA RIOJA,,,46042090,90,,,1,- 0,,- 0,6,,
LA RIOJA,Chilecito,,46042030,- 0,60,,- 0,- 0,- 0,- 0,,65,
LA RIOJA,,,46042100,- 0,- 0,,- 0,- 0,- 0,,7,7,
LA RIOJA,,Vichigasta,46042140,46,,- 0,1,- 0,,- 0,103,151,
LA RIOJA,Chilecito,Colonia Anguinán,,- 0,161,- 0,,- 0,- 0,- 0,,,
,Chilecito,Guanchín,46042060,,- 0,- 0,- 0,,- 0,- 0,2,,
LA RIOJA,,Malligasta,46042070,- 0,,- 0,- 0,- 0,,,185,185,
LA RIOJA,,,46042110,- 0,,,- 0,- 0,,,7,7,
LA RIOJA,,Sañogasta,46042120,- 0,,- 0,- 0,- 0,,- 0,219,,
LA RIOJA,,,46042130,- 0,,,- 0,- 0,,- 0,,13,
,Chilecito,La Puntilla,46042030,,- 0,- 0,- 0,,- 0,- 0,1,1,
,Coronel Felipe Varela,Guandacol,,,379,- 0,,,1,,- 0,383,
LA RIOJA,Coronel Felipe Varela,Santa Clara,,- 0,- 0,- 0,,- 0,- 0,- 0,,,
,Coronel Felipe Varela,Villa Unión,46028050,,1.122,- 0,3,,1,- 0,258,,
LA RIOJA,Coronel Felipe Varela,,46028010,- 0,- 0,,- 0,- 0,- 0,,47,47,
LA RIOJA,,,46028030,- 0,,,- 0,- 0,,- 0,107,107,
,Coronel Felipe Varela,Pagancillo,,,- 0,- 0,,,- 0,- 0,,,
LA RIOJA,Famatina,Famatina,,1,202,- 0,,- 0,- 0,- 0,,210,
LA RIOJA,,,46049020,- 0,,,- 0,- 0,,,6,6,
LA RIOJA,,Campanas,46049050,- 0,,- 0,1,- 0,,,161,162,
,Famatina,Chañarmuyo,,,- 0,- 0,,,- 0,- 0,29,,
,Famatina,La Cuadra,46049080,,- 0,- 0,- 0,,- 0,- 0,,22,
,Famatina,Pituil,,,- 0,- 0,,,- 0,,153,153,
LA RIOJA,Famatina,Santa Cruz,,- 0,- 0,- 0,,- 0,- 0,- 0,22,22,
LA RIOJA,,Tama,46056020,8,,- 0,1,- 0,,- 0,,158,
LA RIOJA,General Angel V. Peñaloza,,46056010,- 0,- 0,,1,- 0,- 0,- 0,,,
LA RIOJA,General Belgrano,Chañar,,9,- 0,- 0,,- 0,- 0,- 0,90,100,
,General Belgrano,Loma Blanca,,,- 0,- 0,,,2,,- 0,2,
,General Belgrano,Olta,46063040,,1.069,- 0,1,,1,- 0,,,
,General Belgrano,Castro Barros,,- 0,- 0,- 0,,- 0,- 0,- 0,,1,
LA RIOJA,,Santa Rita de Catuna,46084050,- 0,,- 0,- 0,- 0,,- 0,- 0,300,
LA RIOJA,General Ocampo,,46084010,- 0,- 0,,- 0,- 0,- 0,,34,34,
LA RIOJA,General Ocampo,,46084030,- 0,813,,1,- 0,- 0,- 0,,814,
LA RIOJA,,,46091010,- 0,,,2,- 0,,- 0,1,,
LA RIOJA,Independencia,Amaná,,1,- 0,- 0,,- 0,- 0,,1,2,
,Independencia,OTROS,,,- 0,- 0,,,1,,- 0,1,
LA RIOJA,,Patquía,46105020,31,,- 0,1,- 0,,- 0,279,,
LA RIOJA,Rosario Vera Peñaloza,,46112010,4,2.312,,3,1,1,- 0,,,
LA RIOJA,Rosario Vera Peñaloza,Desiderio Tello,,- 0,- 0,- 0,,- 0,- 0,- 0,116,116,
,Sanagasta,Villa Sanagasta,46126010,,543,- 0,5,,1,,5,554,
LA RIOJA,,,46119010,- 0,1,,3,- 0,1,- 0,102,,
LA RIOJA,,Alpasinche,46119010,- 0,,- 0,2,- 0,,- 0,,,
LA RIOJA,,,46119010,- 0,,,- 0,- 0,,,156,156,
LA RIOJA,San Blas de los Sauces,,46119010,- 0,- 0,,- 0,- 0,- 0,- 0,16,16,
,San Blas de los Sauces,Chaupihuasi,,,- 0,- 0,,,- 0,- 0,,16,
LA RIOJA,San Blas de los Sauces,Cuipan,,- 0,- 0,- 0,,- 0,- 0,- 0,50,,
LA RIOJA,San Blas de los Sauces,,46119010,- 0,1,,- 0,- 0,- 0,,42,43,
LA RIOJA,,San Blas,46119010,- 0,,,- 0,- 0,,,48,48,
LA RIOJA,San Blas de los Sauces,,46119010,- 0,,,1,- 0,- 0,- 0,,74,
LA RIOJA,,Suriyaco,46119010,- 0,,- 0,- 0,- 0,,- 0,2,,
LA RIOJA,San Blas de los Sauces,Tuyubil,,- 0,- 0,- 0,,,- 0,,2,2,
,General Juan F. Quiroga,San Antonio,46070040,,- 0,- 0,- 0,,- 0,- 0,33,33,
,General Juan F. Quiroga,Malanzán,,,- 0,- 0,,,- 0,- 0,347,,
LA RIOJA,General Juan F. Quiroga,Nácate,,- 0,- 0,- 0,,- 0,- 0,- 0,,,
LA RIOJA,,,46070030,- 0,,,1,- 0,,- 0,227,228,
LA RIOJA,General Lamadrid,,46077010,- 0,- 0,,1,- 0,- 0,,255,256,
LA RIOJA,Vinchina,Jagüé,,- 0,- 0,- 0,,- 0,- 0,- 0,,2,
,Vinchina,Villa San José de Vinchina,46098020,,- 0,- 0,2,,- 0,- 0,,,
MENDOZA,,Mendoza,50007010,6.997,,182,32.987,202,,,2.053,112.298,
MENDOZA,General Alvear,,50014010,- 0,64,,- 0,- 0,,,91,157,
,General Alvear,General Alvear,50014030,,3.812,1,2.224,,- 0,- 0,,10.638,
MENDOZA,General Alvear,Carmensa,,,- 0,- 0,,- 0,- 0,- 0,,,
MENDOZA,Godoy Cruz,Godoy Cruz,,4.261,25,90,,100,2,- 0,1.014,36.832,
,Godoy Cruz,Gobernador Benegas,,,- 0,- 0,,,- 0,,- 0,568,
MENDOZA,Godoy Cruz,,50021010,- 0,- 0,,759,- 0,- 0,- 0,,,
MENDOZA,,,50021010,- 0,,,288,- 0,,- 0,,288,
,Godoy Cruz,Villa Hipodromo,,,- 0,- 0,18,,- 0,,- 0,18,
MENDOZA,Guaymallén,Bermejo,,- 0,- 0,- 0,,- 0,- 0,- 0,- 0,149,
,Guaymallén,Colonia Segovia,,,- 0,- 0,,,- 0,- 0,,147,
,Guaymallén,Guaymallén,50028020,,7,88,28.449,,- 0,- 0,,,
MENDOZA,,,50028030,- 0,,,- 0,- 0,,,27,27,
